weeks:	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko
31.	2.	4.	18.	3.	0.	9.	15.	0.	0.	17.	0.	26.	0.	0.	1.	2.	0.	8.	15.	1.	0.	1.	5.	0.	5.	0.	1.	1.	1.	2.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	9.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
32.	3.	4.	16.	2.	0.	9.	15.	0.	0.	16.	0.	25.	0.	0.	1.	2.	0.	9.	15.	1.	0.	1.	5.	0.	5.	0.	1.	1.	1.	2.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	9.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
33.	3.	4.	16.	2.	0.	9.	15.	0.	0.	16.	0.	19.	0.	0.	1.	2.	0.	9.	15.	1.	0.	1.	5.	0.	5.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	9.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
34.	3.	4.	15.	2.	0.	9.	14.	0.	0.	16.	0.	19.	0.	0.	1.	2.	0.	9.	14.	1.	0.	1.	5.	0.	5.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	9.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
35.	3.	4.	15.	2.	0.	9.	13.	0.	0.	18.	0.	16.	0.	0.	1.	2.	0.	10.	14.	1.	0.	1.	5.	0.	6.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	10.	0.	1.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
36.	3.	6.	15.	2.	0.	11.	13.	0.	1.	16.	1.	19.	0.	0.	1.	2.	0.	8.	12.	1.	0.	1.	5.	0.	5.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	10.	0.	0.	1.	1.	2.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
37.	4.	8.	15.	2.	0.	11.	12.	0.	1.	14.	0.	17.	0.	0.	1.	2.	0.	9.	10.	1.	0.	1.	5.	0.	6.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	1.	0.	0.	10.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
38.	3.	6.	15.	2.	0.	11.	11.	0.	0.	13.	0.	16.	0.	0.	1.	2.	0.	9.	11.	0.	0.	1.	5.	0.	6.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	1.	0.	0.	10.	0.	0.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
39.	4.	8.	15.	2.	0.	11.	12.	0.	0.	16.	0.	16.	0.	0.	1.	2.	0.	9.	10.	1.	0.	1.	5.	0.	6.	0.	2.	1.	1.	0.	0.	0.	1.	0.	0.	0.	0.	3.	0.	0.	1.	2.	0.	0.	0.	1.	0.	0.	8.	1.	0.	1.	0.	1.	0.	0.	0.	0.	1.	0.	0.	1.	0.	1.	0.										
40.	4.	7.	15.	2.	0.	11.	12.	0.	0.	14.	0.	16.	0.	0.	1.	2.	0.	9.	9.	0.	0.	1.	5.	0.	6.	0.	2.	1.	1.	0.	0.	0.	1.	0.	0.	0.	0.	3.	0.	0.	1.	2.	0.	0.	0.	1.	0.	0.	9.	1.	0.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
41.	2.	7.	15.	2.	0.	8.	9.	0.	0.	13.	0.	16.	0.	0.	1.	2.	0.	10.	9.	0.	0.	1.	5.	0.	6.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	1.	0.	0.	0.	0.	0.	0.	10.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
42.	3.	7.	15.	2.	0.	11.	7.	0.	0.	13.	0.	16.	0.	0.	1.	2.	0.	9.	7.	0.	0.	1.	5.	0.	5.	0.	2.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0.	10.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
43.	4.	5.	15.	2.	0.	10.	7.	0.	0.	12.	0.	16.	0.	0.	1.	2.	0.	9.	9.	0.	0.	1.	5.	0.	6.	0.	2.	1.	1.	0.	0.	1.	0.	0.	0.	0.	0.	3.	0.	0.	1.	2.	1.	0.	0.	0.	0.	0.	8.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
44.	4.	5.	15.	2.	0.	10.	7.	0.	0.	12.	0.	16.	1.	0.	1.	2.	0.	9.	8.	0.	0.	1.	5.	0.	6.	0.	2.	1.	1.	0.	0.	1.	0.	0.	0.	0.	0.	3.	1.	0.	1.	2.	1.	0.	0.	0.	0.	0.	8.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
45.	4.	5.	15.	2.	0.	10.	7.	0.	0.	10.	0.	16.	0.	0.	1.	1.	0.	8.	9.	0.	0.	1.	5.	0.	6.	0.	2.	1.	2.	0.	0.	1.	0.	0.	0.	0.	0.	3.	1.	0.	1.	2.	0.	1.	0.	1.	0.	0.	8.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
46.	4.	4.	15.	2.	0.	10.	6.	0.	0.	10.	0.	16.	0.	0.	1.	1.	0.	8.	9.	0.	0.	1.	5.	0.	6.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	1.	0.	1.	1.	0.	0.	0.	0.	0.	0.	8.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
47.	4.	5.	15.	2.	0.	10.	8.	0.	0.	10.	0.	16.	0.	0.	1.	1.	0.	8.	9.	0.	0.	0.	5.	0.	6.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	8.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
48.	4.	4.	15.	2.	0.	10.	7.	0.	0.	10.	0.	16.	0.	0.	1.	1.	0.	8.	9.	0.	0.	1.	5.	0.	6.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	1.	0.	1.	1.	0.	0.	0.	0.	0.		8.	2.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
49.	4.	4.	15.	2.	0.	10.	7.	6.	0.	10.	0.	16.	0.	0.	1.	1.	0.	8.	9.	0.	0.	1.	5.	0.	6.	0.	1.	2.	2.	0.	1.	0.	0.	0.	0.	0.	0.	3.	1.	0.	1.	2.	0.	1.	0.	0.	0.	0.	8.	3.	0.	1.	0.	0.	1.	0.	0.	0.	1.	0.	0.	0.	0.	1.	0.										
50.	6.	4.	15.	2.	1.	10.	7.	5.	1.	10.	1.	16.	0.	0.	1.	1.	0.	8.	9.	0.	0.	1.	5.	0.	6.	0.	1.	2.	2.	0.	1.	0.	0.	0.	0.	0.	0.	3.	2.	0.	1.	2.	0.	1.	0.	0.	0.	0.	8.	3.	1.	0.	0.	0.	1.	0.	0.	0.	1.	0.	0.	0.	0.	1.	0.										
51.	6.	4.	15.	2.	1.	10.	7.	4.	1.	10.	1.	16.	1.	0.	1.	1.	0.	7.	9.	0.	0.	1.	5.	0.	6.	0.	1.	2.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	2.	0.	1.	2.	0.	1.	0.	0.	0.	0.	8.	3.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
52.	5.	4.	15.	2.	0.	10.	7.	4.	1.	10.	1.	16.	1.	1.	1.	1.	0.	7.	9.	0.	0.	1.	5.	0.	6.	0.	1.	2.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	4.	0.	1.	2.	0.	1.	0.	0.	0.	0.	8.	3.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
53.	5.	4.	15.	2.	0.	10.	7.	4.	1.	10.	1.	16.	1.	0.	1.	1.	0.	7.	9.	0.	0.	1.	5.	0.	6.	0.	1.	2.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	5.	0.	0.	1.	0.	1.	0.	0.	0.	0.	8.	2.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
54.	6.	4.	15.	2.	0.	10.	7.	4.	0.	10.	1.	16.	1.	0.	1.	1.	0.	8.	9.	0.	0.	1.	5.	0.	5.	0.	1.	0.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	4.	0.	1.	1.	0.	1.	0.	0.	0.	0.	8.	2.	1.	1.	0.	0.	1.	0.	0.	0.	1.	0.	0.	1.	0.	1.	0.										
55.	6.	4.	15.	2.	1.	10.	7.	4.	0.	10.	1.	16.	1.	0.	1.	1.	0.	8.	9.	0.	0.	1.	5.	0.	5.	0.	1.	2.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	5.	0.	1.	1.	0.	1.	0.	0.	0.	0.	8.	2.	2.	1.	0.	0.	1.	0.	0.	0.	1.	0.	0.	1.	0.	1.	0.										
56.	4.	4.	15.	2.	1.	10.	7.	4.	0.	10.	1.	16.	1.	0.	1.	1.	0.	6.	9.	0.	0.	1.	5.	0.	5.	0.	1.	1.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	5.	0.	1.	1.	0.	1.	0.	0.	0.	0.	8.	3.	2.	1.	0.	0.	1.	0.	0.	0.	1.	0.	0.	1.	0.	1.	0.										
57.	4.	4.	15.	2.	0.	10.	7.	4.	0.	10.	0.	16.	0.	0.	1.	1.	0.	9.	9.	0.	0.	1.	5.	0.	3.	1.	1.	0.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	5.	0.	1.	1.	0.	1.	0.	0.	0.	0.	8.	1.	1.	0.	0.	0.	1.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
58.	4.	4.	15.	2.	1.	10.	7.	4.	0.	10.	1.	16.	1.	0.	1.	1.	0.	7.	9.	0.	0.	1.	5.	0.	4.	0.	1.	2.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	9.	0.	3.	1.	0.	1.	0.	1.	0.	0.	8.	2.	1.	2.	0.	0.	1.	0.	0.	0.	1.	0.	0.	1.	0.	1.	0.										
59.	4.	4.	15.	2.	1.	10.	7.	4.	0.	10.	1.	16.	2.	0.	1.	1.	0.	8.	9.	0.	0.	1.	5.	0.	6.	2.	1.	0.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	9.	0.	3.	1.	0.	1.	0.	1.	0.	0.	8.	2.	1.	2.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
60.	4.	4.	15.	2.	1.	10.	7.	4.	1.	10.	1.	16.	2.	0.	1.	1.	0.	8.	9.	0.	0.	1.	5.	0.	7.	3.	1.	0.	1.	0.	1.	0.	0.	0.	0.	1.	0.	3.	8.	0.	3.	1.	0.	1.	0.	1.	0.	0.	8.	2.	2.	2.	0.	0.	1.	1.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
61.	4.	4.	15.	2.	1.	10.	7.	5.	1.	10.	1.	16.	2.	0.	1.	1.	0.	8.	9.	0.	0.	1.	5.	0.	7.	3.	1.	0.	1.	0.	1.	0.	0.	0.	0.	1.	0.	3.	8.	0.	3.	1.	0.	1.	0.	1.	0.	0.	8.	2.	2.	2.	0.	0.	2.	1.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
62.	4.	4.	15.	2.	0.	10.	7.	4.	0.	10.	1.	16.	1.	0.	1.	1.	0.	9.	9.	0.	0.	1.	5.	0.	6.	1.	1.	0.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	7.	0.	2.	1.	0.	0.	0.	0.	0.	0.	8.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
63.	4.	4.	15.	2.	1.	10.	7.	4.	1.	10.	3.	16.	1.	0.	1.	1.	1.	5.	9.	0.	1.	1.	5.	0.	5.	0.	0.	0.	1.	0.	1.	0.	0.	0.	0.	1.	0.	3.	10.	0.	4.	1.	0.	1.	0.	0.	0.	0.	8.	2.	2.	0.	0.	0.	1.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
